Artist,title,Acousticness,Tempo,Danceability,Energy,Instrumentalness,Speechiness
King Diamond,The Possession,0.000138,135.878,0.224727,0.891443,0.571786,0.060633
Volbeat,Radio Girl,0.000002,112.67,0.483148,0.988618,0.792826,0.056068
Volbeat,Evelyn,0.000074,139.009,0.248594,0.945699,0.023855,0.077366
Volbeat,Who They Are,0.000014,108.334,0.363715,0.960007,0.005181,0.090575
Volbeat,Room 24,0.000008,79.376,0.203252,0.951647,0.007214,0.103746
Volbeat,The Mirror And The Ripper,0.000264,127.386,0.218015,0.946073,0.013945,0.12809
Volbeat,7 Shots,0.000038,149.056,0.164375,0.944075,0.002724,0.170713
Volbeat,Maybellene i Hofteholder,0.004533,94.191,0.250183,0.9428,0.000003,0.070846
Volbeat,Something Else Or,0.000141,135.871,0.344512,0.939989,0.000276,0.074106
Volbeat,A New Day,0.000779,83.029,0.399258,0.734487,0.000021,0.063824
Volbeat,Say Your Number,0.000003,118.664,0.30013,0.980148,0.033459,0.108719
Volbeat,The Nameless One,0.000042,118.142,0.334058,0.666526,0.000001,0.039993
Volbeat,I'm So Lonesome I Could Cry,0.010403,117.937,0.352949,0.88909,0,0.12308
Volbeat,Rebel Angel,0.00026,111.933,0.553867,0.876333,0.000009,0.038392
Volbeat,Healing Subconsciously,0.000013,212.62,0.089566,0.974585,0.837454,0.235758
Volbeat,A Moment Forever,0.000011,143.855,0.539197,0.970391,0.128935,0.124861
The Raveonettes,Lust - Trentemøller Remix,0.002833,123.004,0.656275,0.718822,0.70005,0.031662
The Raveonettes,You Want The Candy,0.000031,159.089,0.390008,0.901932,0.003433,0.054978
The Raveonettes,Veronica Fever,0.000246,121.078,0.426818,0.962653,0.953693,0.052718
The Raveonettes,Blush,0.000019,149.061,0.321719,0.877875,0.012033,0.047218
The Raveonettes,Ode To L.A,0.004383,121.017,0.407067,0.930734,0.052821,0.08413
The Raveonettes,Demons Fire,0.003915,92.016,0.356273,0.983406,0.934093,0.085123
The Raveonettes,Run Mascara Run,0.05418,105.572,0.245542,0.805934,0.00034,0.077855
The Raveonettes,Too Close to Heartbreak,0.001282,158.983,0.331234,0.98857,0.961147,0.077883
The Raveonettes,Wake Me Up,0.008773,95.462,0.438778,0.663685,0.000368,0.027409
The Raveonettes,My Heartbeat’s Dying (Bonus Track),0.000761,114.054,0.505824,0.960214,0,0.049999
The Raveonettes,Recharge & Revolt,0.036927,137.026,0.387673,0.563357,0.007685,0.033704
The Raveonettes,Uncertain Times,0.019708,127.794,0.437974,0.684724,0.114802,0.027866
The Raveonettes,Kill!,0.002833,103.473,0.476417,0.806866,0.115391,0.042455
The Raveonettes,You Hit Me (I'm Down),0.269094,120.926,0.509271,0.938834,0.484249,0.043255
Mercyful Fate,The Uninvited Guest,0.000017,129.556,0.530495,0.988428,0.096719,0.049948
Mercyful Fate,Come To The Sabbath,0.003925,133.859,0.261303,0.956971,0.229251,0.074298
Mercyful Fate,House On The Hill,0.000003,132.077,0.513896,0.784829,0.003059,0.057132
Mercyful Fate,Death Kiss,0.107151,150.691,0.286584,0.895002,0.121388,0.09652
Mercyful Fate,Come To The Sabbath,0.00239,133.818,0.256108,0.929043,0.478604,0.069201
Mercyful Fate,Curse Of The Pharaohs,0.000306,137.46,0.299914,0.874851,0.129301,0.085536
Mercyful Fate,Black Funeral,0.01096,142.45,0.268203,0.976988,0.650645,0.116834
Mercyful Fate,Dead Again,0.002725,104.909,0.34555,0.843752,0.000616,0.064031
Mercyful Fate,The Lady Who Cries,0.001812,117.937,0.469607,0.870416,0.196688,0.044134
Mercyful Fate,Shadows,0.001044,132.685,0.350564,0.950627,0.289274,0.070474
Mercyful Fate,Kutulu,0.000091,94.044,0.262349,0.8916,0.020142,0.047304
Mercyful Fate,Banshee,0.006404,134.162,0.537773,0.888953,0.000017,0.032925
Mercyful Fate,Welcome Princes Of Hell,0.011413,145.882,0.381336,0.906287,0.696144,0.055368
Mercyful Fate,Return of The Vampire,0.020287,125.334,0.396178,0.523437,0.085207,0.041568
Kraftwerk,Kraftwerk,0.565508,123.457,0.530001,0.576733,0.930989,0.051781	
Kraftwerk,Musique Non Stop,0.004467,108.167,0.792573,0.813178,0.388138,0.143321	
Kraftwerk,Expo 2000,0.948004,182.155,0.572027,0.261261,0.565974,0.063483
Kraftwerk,Die Mensch-Maschine,0.05567,90.024,0.738876,0.499025,0.865829,0.077222	
Kraftwerk,Prologue,0.989348,104.077,0.169304,0.00022,0.94396,0.04153	
Kraftwerk,Nachrichten,0.475472,79.286,0.491862,0.269474,0.866067,0.378919	
Kraftwerk,Planet Of Visions,0.023811,133.266,0.619538,0.847543,0.823347,0.049537
Kraftwerk,Expo 2000,0.621187,182.044,0.678542,0.520461,0.739282,0.066568	
Kraftwerk,Neon Lights,0.241317,104.286,0.601874,0.779086,0.838316,0.026028	
Kraftwerk,Vitamin,0.691457,90.962,0.657742,0.541662,0.93613,0.063836
Kraftwerk,Expo 2000,0.008314,157.581,0.754138,0.505417,0.896606,0.138964	
Kraftwerk,Chrono,0.455819,140.047,0.618072,0.893383,0.924616,0.043886	
Kraftwerk,Die Roboter.,0.044609,114.934,0.806329,0.437723,0.540416,0.101564	
Kraftwerk,Kraftwerk,0.71668,84.001,0.747255,0.624385,0.887741,0.091474	
Kraftwerk,Taschenrechner,0.417213,135.815,0.820892,0.361147,0.808778,0.076943
Rammstein,Seemann,0.004634,140.137,0.596947,0.69316,0.006125,0.059212
Rammstein,Du Riechst So Gut,0.000186,111.975,0.537469,0.863799,0.243414,0.043473
Rammstein,Mutter,0.013603,116.166,0.466637,0.620466,0.000474,0.035039
Rammstein,Fuhre Mich,0.00024,156.029,0.509381,0.49411,0.229898,0.026725
Rammstein,Buck Dich,0.00028,149.986,0.368981,0.854694,0.371529,0.092664
Rammstein,Asche Zu Asche,0.002399,84.985,0.608127,0.884139,0.066019,0.070872
Rammstein,Du Riechst So Gut,0.000285,123.039,0.581232,0.931633,0.436807,0.065362
Rammstein,MEIN LAND,0.008649,176.011,0.451765,0.921275,0.860591,0.041804
Rammstein,ICH TU DIR WEH,0.001451,122.664,0.637955,0.793136,0.05278,0.039864
Rammstein,Wilder Wein,0.103695,75.024,0.400352,0.758102,0.007205,0.128207
Scorpions,Fly To The Rainbow,0.096861,138.101,0.28893,0.609693,0.042179,0.03902
Scorpions,Humanity,0.001916,179.242,0.211234,0.560032,0.000863,0.038902
Scorpions,Rip It Up,0.193649,92.496,0.495543,0.803126,0.000016,0.048958
Scorpions,Loving You Sunday Morning,0.000108,135.159,0.344336,0.990993,0.013359,0.183645
Scorpions,When You Came into My Life,0.050841,125.966,0.629742,0.656175,0.001575,0.030197
Scorpions,The Zoo,0.002875,102,0.636935,0.808296,0.005316,0.037321
Scorpions,Get Your Love,0.04689,112.446,0.415806,0.593592,0.00002,0.027932
Scorpions,He is A Woman She is A Man,0.014048,166.835,0.225685,0.823863,0.000448,0.167412
Scorpions,Children Of The Revolution,0.000401,131.955,0.434547,0.903654,0.056925,0.062391
Scorpions,This Is My Song,0.002101,135.808,0.361779,0.750823,0.236324,0.100888
Scorpions,Your Light,0.374371,112.945,0.49438,0.437552,0.037344,0.042679
Scorpions,Robot Man,0.000571,98.442,0.582958,0.501667,0.132423,0.057137
Scorpions,Dancing with the Moonlight,0.000705,161.03,0.50796,0.894588,0.001631,0.08499
Scorpions,In Trance,0.148509,136.02,0.449866,0.783183,0,0.043017
Markus Schulz,Digital Madness,0.006807,132.032,0.310885,0.844956,0.865219,0.095898
Markus Schulz,Without You Near,0.001332,133.994,0.614421,0.568464,0.007016,0.028658
Markus Schulz,Apollo,0.000287,128,0.681033,0.639052,0.811297,0.043071
Markus Schulz,The New World,0.011662,135.99,0.532095,0.808178,0.786862,0.034875
Markus Schulz,Never Be The Same Again,0.012779,135.813,0.521891,0.837862,0.683122,0.041176
Markus Schulz,Red Eye To Miami,0.058711,125.046,0.670834,0.956658,0.923461,0.106894
Markus Schulz,Daybreak,0.001677,127.995,0.655251,0.820565,0.854871,0.055346
Markus Schulz,Revolution,0.001473,127.852,0.412525,0.865649,0,0.050591
Markus Schulz,Finish Line,0.042169,130.013,0.479289,0.849095,0.150119,0.048725
Markus Schulz,Largo,0.001709,130.008,0.562878,0.899265,0.777146,0.036175
Markus Schulz,Destiny,0.002582,129.987,0.581663,0.796131,0.050948,0.046553
Markus Schulz,Largo,0.000499,132.641,0.526672,0.980676,0.009329,0.09101
